mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.026601791381835938,0.0075200443822600275,0.0,0.0,0.01,32,0.85,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.85}",0.35094557187699515,0.336218554619346,0.34105055133453344,0.3427382259436249,0.006129570051066811,94
0.037714083989461265,0.002699756319777251,0.0006679693857828776,0.0009446513646241716,0.01,32,0.9,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.9}",0.34688936844963814,0.33690514158079166,0.34106627417870194,0.3416202614030439,0.004094823799684962,96
0.04854687054951986,0.006269080916331677,0.0003612836201985677,0.0005109321955480648,0.01,64,0.6,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.6}",0.5613600223891769,0.5337242798246755,0.5442924880975246,0.5464589301037924,0.011385770944406584,79
0.05382021268208822,0.006550771028154635,0.005301952362060547,0.0074980929374820916,0.01,64,0.7,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.7}",0.5609220489024735,0.536951060200384,0.5406549800494753,0.5461760297174443,0.010536082982337781,81
0.05663617451985677,0.004803658424499626,0.0,0.0,0.01,64,0.75,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.75}",0.5595189815047182,0.5377543673932937,0.5413732070998314,0.5462155186659478,0.00952227538747307,80
0.05571850140889486,0.008268743252448588,0.0006643931070963541,0.0009395937428028643,0.01,64,0.8,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.8}",0.5588163464887905,0.5333378482434996,0.5385047678249573,0.5435529875190824,0.010997025651479229,83
0.05811063448588053,0.007697179967521781,0.0,0.0,0.01,64,0.85,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.85}",0.5553171404603596,0.5347993676743692,0.5414143985271722,0.543843635553967,0.008550658626626196,82
0.057781378428141274,0.004351076562568953,0.000667572021484375,0.0009440894066440263,0.01,64,0.9,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.9}",0.5562425572801839,0.5333300819275527,0.5396353989843422,0.5430693460640262,0.009664001107401496,84
0.10723471641540527,0.009688718398128928,0.0006678104400634766,0.0009444265814321134,0.01,128,0.6,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.6}",0.749457777678024,0.7210509759966112,0.7316386752559034,0.7340491429768462,0.011721614263603238,61
0.10336939493815105,0.006675499076056719,0.0,0.0,0.01,128,0.7,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.7}",0.7473740758397835,0.7191991955410977,0.7311522457008001,0.7325751723605604,0.011546269532352917,62
