mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.16833861668904623,0.029384033562212992,0.003031015396118164,0.0008475969498463254,8,100,0.01,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.01}",0.6071203787757034,0.6056884149095139,0.6121292916197765,0.6083126951016645,0.0027613326329951698,20
0.13489484786987305,0.01141444640636879,0.0028890768686930337,0.0008342027100506975,8,100,0.05,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.05}",0.8604350507448904,0.809854925749845,0.8358804849195317,0.8353901538047556,0.020652160170793948,5
0.13727720578511557,0.01028734947521643,0.0026269753774007163,0.0006771058077292434,8,100,0.1,"{'depth': 8, 'iterations': 100, 'learning_rate': 0.1}",0.864241044879781,0.8094276188117873,0.8402275885528396,0.8379654174148027,0.022434586141657567,4
0.10292887687683105,0.009664692669078266,0.0021719137827555337,0.002100265700455231,10,30,0.01,"{'depth': 10, 'iterations': 30, 'learning_rate': 0.01}",0.2555355852232999,0.2594322048772746,0.2580529189051992,0.25767356966859123,0.0016132452932772435,27
0.09813070297241211,0.00449359132181197,0.004834095637003581,0.001831613492357789,10,30,0.05,"{'depth': 10, 'iterations': 30, 'learning_rate': 0.05}",0.7000792549658714,0.6785689245987425,0.6768817209897717,0.6851766335181285,0.010560232273820977,18
0.0964643160502116,0.007607895225632277,0.0020052591959635415,0.0016382289830784993,10,30,0.1,"{'depth': 10, 'iterations': 30, 'learning_rate': 0.1}",0.8069110406011634,0.776672399553485,0.7956811872509674,0.7930882091352052,0.012480291255527675,14
0.15159161885579428,0.004453753727733324,0.002197424570719401,0.00187862125115915,10,50,0.01,"{'depth': 10, 'iterations': 50, 'learning_rate': 0.01}",0.384002152467979,0.3866400325732535,0.3833072325801723,0.38464980587380165,0.0014356137245154742,24
0.15650312105814615,0.01023842686203226,0.003048578898111979,0.0008206731908360174,10,50,0.05,"{'depth': 10, 'iterations': 50, 'learning_rate': 0.05}",0.7965750534076679,0.7647767777090833,0.7757571023162231,0.7790363111443247,0.01318705153435304,15
0.20438758532206217,0.036774248963095744,0.004584948221842448,0.005046601411309866,10,50,0.1,"{'depth': 10, 'iterations': 50, 'learning_rate': 0.1}",0.8431795044230721,0.7944727469067263,0.8187522150652213,0.8188014887983398,0.019884481015180464,10
0.34935228029886883,0.03449504497312316,0.004147450129191081,0.0022964676412872086,10,100,0.01,"{'depth': 10, 'iterations': 100, 'learning_rate': 0.01}",0.5850650331990216,0.5779724229910816,0.5842321115131893,0.5824231892344308,0.0031654836121710293,21
